Opportunity Name,Level 2 Government,Bridge Name,Project Code,Stage,Sub-Stage,CaseSafeID,B2P Fiscal Year,latitude,longitude,Individuals Directly Served,Population Estimate 2000m
Rwanda - Bwumba - 1013384,Nyabihu,Bwumba,1013384,Identified,Technical,006f100000d7GscAAE,2019,-1.61143,29.57829,3312,7812
Rwanda - Ruganzu - 1013716,Nyamasheke,Ruganzu,1013716,Identified,Technical,006f100000d7jEQAAY,2019,-2.319874,29.161228,2680,7877
Rwanda - Gitunu - 1013596,Rutsiro,Gitunu,1013596,Identified,Vehicular Bridge Required,006f100000d7cerAAA,2018,,,1,
Rwanda - Kamabuye - 1014311,Kamonyi,Kamabuye,1014311,Identified,Technical,006f100000eeqqXAAQ,2019,-1.856669,29.838176,5800,4046
Rwanda - Cyabariza - 1014313,Kamonyi,Cyabariza,1014313,Identified,Technical,006f100000eeqsEAAQ,2019,-2.056492,29.940225,13900,4640
Rwanda - Kazeneza - 1013706,Kayonza,Kazeneza,1013706,Identified,Technical,006f100000d7jCyAAI,2019,-2.06686,30.62524,1862,3261
Rwanda - Cyiri - 1013279,Nyanza,Cyiri,1013279,Identified,Technical,006f100000d767SAAQ,2018,-2.45403,29.84815,4264,4814
Rwanda - Nyabinyenga - 1013811,Gisagara,Nyabinyenga,1013811,Identified,Technical,006f100000d7x5oAAA,2019,-2.70198,29.81289,5029,4992
Rwanda - Iterambere - 1014263,Nyarugenge,Iterambere,1014263,Identified,Technical,006f100000eekXgAAI,2019,-1.94544,30.05341,1162,172079
Rwanda - Pansezi - 1013311,Musanze,Pansezi,1013311,Identified,Technical,006f100000d7EMIAA2,2019,-1.545719,29.67259,4146,11016
Rwanda - Gatarinzira - 1013805,Gisagara,Gatarinzira,1013805,Cancelled,,006f100000d7x5FAAQ,2023,-2.775531,29.708728,4868,6934
Rwanda - Nyabikenke - 1013864,Karongi,Nyabikenke,1013864,Identified,Vehicular Bridge Required,006f100000d888lAAA,2019,-2.07676,29.38212,1120,5479
Rwanda - Kiciro - 1013351,Muhanga,Kiciro,1013351,Complete,In Service,006f100000d7EZRAA2,2020,-2.05545934,29.64411986,5167,4689
Rwanda - Kamatabaro - 1013713,Karongi,Kamatabaro,1013713,Identified,Technical,006f100000d7jEBAAY,2019,-2.14826,29.46926,3917,4087
Rwanda - Mombori2 - 1014284,Kamonyi,Mombori2,1014284,Identified,Technical,006f100000eekgWAAQ,2019,-2.08488,29.81828,2800,6902
Rwanda - Gisayo - 1013247,Muhanga,Gisayo,1013247,Identified,Technical,006f100000d761GAAQ,2018,-2.01790012,29.67739076,2127,5492
Rwanda - Nyarukeri - 1013548,Karongi,Nyarukeri,1013548,Identified,Technical,006f100000d7azPAAQ,2019,-2.14404,29.43463,4386,3458
Rwanda - KwaJackson - 1013865,Karongi,KwaJackson,1013865,Identified,Technical,006f100000d888qAAA,2019,-2.06989,29.342,2138,14557
Rwanda - Nyarunyinya~Rwabisindu - 1013882,Nyamasheke,Nyarunyinya~Rwabisindu,1013882,Identified,Technical,006f100000d88DMAAY,2019,-2.183169,29.262155,3765,5367
Rwanda - Nyiragakokwe - 1014304,Kamonyi,Nyiragakokwe,1014304,Identified,Technical,006f100000eelq8AAA,2019,-2.07101,29.84978,2870,6305
Rwanda - Gisiza - 1013898,Nyamasheke,Gisiza,1013898,Complete,In Service,006f100000d88KhAAI,2023,-2.353335,29.147336,3100,7735
Rwanda - Munanira - 1013583,Nyamagabe,Munanira,1013583,Complete,In Service,006f100000d7bIlAAI,2023,-2.396316,29.577776,4717,4155
Rwanda - Kigarama - 1013779,Karongi,Kigarama,1013779,Identified,Technical,006f100000d7wY7AAI,2019,-2.0924,29.44834,4026,7056
Rwanda - Akagano - 1013809,Gisagara,Akagano,1013809,Identified,Technical,006f100000d7x5eAAA,2019,-2.78075,29.74108,2490,8228
Rwanda - Hanika - 1013350,Muhanga,Hanika,1013350,Complete,In Service,006f100000d7EZMAA2,2023,-1.97717889,29.67449787,4970,5867
Rwanda - Kamabuye - 1013011,Nyanza,Kamabuye,1013011,Confirmed,,006f100000d6wRfAAI,2023,-2.30024,29.6845,4710,5105
Rwanda - Gacumbi - 1013567,Nyamasheke,Gacumbi,1013567,Identified,Technical,006f100000d7b6QAAQ,2022,-2.26295,29.189909,1888,5025
Rwanda - Rwunga - 1013465,Musanze,Rwunga,1013465,Confirmed,,006f100000d7Q52AAE,2023,-1.492419,29.573354,1035,8507
